Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/util_fmcjesdadc1_xcvr_rx_out_clk_0,i_system_wrapper/system_i/axi_ad9250_core_adc_data_a[31:0],data_a_high[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_b[31:0],i_system_wrapper/system_i/axi_ad9250_core_rx_ready,i_system_wrapper/system_i/axi_ad9250_core_adc_clk,i_system_wrapper/system_i/axi_ad9250_core_adc_valid_a
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED,HEX,HEX,HEX,HEX
0,0,1,0,00ad006d,173,ff67ffa6,1,0,1
1,1,0,0,0023008d,35,ffebff83,1,0,1
2,2,0,0,ff6dffac,-147,00a30064,1,0,1
3,3,0,0,fffbff8f,-5,00180085,1,0,1
4,4,0,0,00aa0073,170,ff64ffa7,1,0,1
5,5,0,0,0024008d,36,fff0ff85,1,0,1
6,6,0,0,ff6effad,-146,00a50061,1,0,1
7,7,0,0,fff7ff8c,-9,00170083,1,0,1
8,8,0,0,00ac006b,172,ff67ffa5,1,0,1
9,9,0,0,0023008f,35,ffecff84,1,0,1
10,10,0,0,ff6fffae,-145,00a10063,1,0,1
11,11,0,0,fff7ff90,-9,00150081,1,0,1
12,12,0,0,00ac006d,172,ff65ffa2,1,0,1
13,13,0,0,00230089,35,ffeeff82,1,0,1
14,14,0,0,ff6cffad,-148,00a50064,1,0,1
15,15,0,0,fff5ff8c,-11,001c0083,1,0,1
16,16,0,0,00ab006c,171,ff68ffa5,1,0,1
17,17,0,0,0025008c,37,ffecff85,1,0,1
18,18,0,0,ff6fffb0,-145,00a00062,1,0,1
19,19,0,0,fff8ff8f,-8,00150086,1,0,1
20,20,0,0,00ab006f,171,ff64ffa0,1,0,1
21,21,0,0,0022008d,34,fff0ff83,1,0,1
22,22,0,0,ff70ffab,-144,00a10065,1,0,1
23,23,0,0,fff8ff8b,-8,001a0083,1,0,1
24,24,0,0,00ae0070,174,ff65ffa5,1,0,1
25,25,0,0,0025008d,37,ffebff88,1,0,1
26,26,0,0,ff71ffa9,-143,00a10061,1,0,1
27,27,0,0,fff6ff8e,-10,00180084,1,0,1
28,28,0,0,00ad006c,173,ff66ffa6,1,0,1
29,29,0,0,00250089,37,ffeeff82,1,0,1
30,30,0,0,ff6fffae,-145,00a30066,1,0,1
31,31,0,0,fff5ff8e,-11,001e0085,1,0,1
32,32,0,0,00ad006b,173,ff66ffa3,1,0,1
33,33,0,0,0021008d,33,ffeeff84,1,0,1
34,34,0,0,ff6effb1,-146,00a00064,1,0,1
35,35,0,0,fff8ff8f,-8,001a0080,1,0,1
36,36,0,0,00ab006d,171,ff65ffa4,1,0,1
37,37,0,0,0023008d,35,ffecff83,1,0,1
38,38,0,0,ff71ffab,-143,00a10061,1,0,1
39,39,0,0,fff9ff8f,-7,001a0082,1,0,1
40,40,0,0,00ab0070,171,ff68ffa5,1,0,1
41,41,0,0,0025008d,37,ffeeff87,1,0,1
42,42,0,0,ff6cffae,-148,00a10062,1,0,1
43,43,0,0,fff5ff8f,-11,00140084,1,0,1
44,44,0,0,00ad006e,173,ff65ffa3,1,0,1
45,45,0,0,0021008d,33,ffefff84,1,0,1
46,46,0,0,ff70ffac,-144,00a50061,1,0,1
47,47,0,0,fff9ff8b,-7,001b0082,1,0,1
48,48,0,0,00aa006f,170,ff65ffa2,1,0,1
49,49,0,0,0023008d,35,ffedff83,1,0,1
50,50,0,0,ff71ffaf,-143,00a10061,1,0,1
51,51,0,0,fff9ff8c,-7,001c0082,1,0,1
52,52,0,0,00ac006f,172,ff66ffa5,1,0,1
53,53,0,0,0022008e,34,ffeeff83,1,0,1
54,54,0,0,ff70ffaf,-144,009f0063,1,0,1
55,55,0,0,fff8ff8f,-8,00190083,1,0,1
56,56,0,0,00ac006e,172,ff69ffa6,1,0,1
57,57,0,0,0024008c,36,ffecff86,1,0,1
58,58,0,0,ff6effaf,-146,00a20066,1,0,1
59,59,0,0,fff8ff8d,-8,001b0085,1,0,1
60,60,0,0,00ae0070,174,ff65ffa4,1,0,1
61,61,0,0,0024008c,36,ffefff87,1,0,1
62,62,0,0,ff6fffaf,-145,00a10064,1,0,1
63,63,0,0,fff8ff90,-8,001e0081,1,0,1
64,64,0,0,00ae006d,174,ff67ffa5,1,0,1
65,65,0,0,0023008d,35,ffefff86,1,0,1
66,66,0,0,ff72ffaf,-142,00a40063,1,0,1
67,67,0,0,fff9ff8f,-7,00180082,1,0,1
68,68,0,0,00aa006d,170,ff69ffa4,1,0,1
69,69,0,0,00240090,36,fff2ff84,1,0,1
70,70,0,0,ff71ffad,-143,00a30063,1,0,1
71,71,0,0,fffaff8e,-6,001c0083,1,0,1
72,72,0,0,00ac006d,172,ff66ffa8,1,0,1
73,73,0,0,0023008a,35,fff0ff85,1,0,1
74,74,0,0,ff70ffac,-144,00a30067,1,0,1
75,75,0,0,fff8ff8c,-8,001a0086,1,0,1
76,76,0,0,00ad006e,173,ff66ffa3,1,0,1
77,77,0,0,0025008e,37,ffedff85,1,0,1
78,78,0,0,ff6dffaf,-147,00a20064,1,0,1
79,79,0,0,fffaff8f,-6,00160083,1,0,1
80,80,0,0,00b0006f,176,ff67ffa1,1,0,1
81,81,0,0,0023008c,35,ffeeff85,1,0,1
82,82,0,0,ff73ffad,-141,009f0065,1,0,1
83,83,0,0,fff7ff8f,-9,001b0082,1,0,1
84,84,0,0,00ab006f,171,ff65ffa3,1,0,1
85,85,0,0,0024008f,36,ffedff83,1,0,1
86,86,0,0,ff70ffae,-144,00a10061,1,0,1
87,87,0,0,fff8ff8e,-8,001a0082,1,0,1
88,88,0,0,00ab006f,171,ff62ffa3,1,0,1
89,89,0,0,00220090,34,ffeeff86,1,0,1
90,90,0,0,ff71ffae,-143,00a20062,1,0,1
91,91,0,0,fff8ff8e,-8,00190083,1,0,1
92,92,0,0,00ac006d,172,ff66ffa3,1,0,1
93,93,0,0,0026008d,38,ffedff85,1,0,1
94,94,0,0,ff6fffb0,-145,00a00063,1,0,1
95,95,0,0,fff9ff8e,-7,001b0084,1,0,1
96,96,0,0,00af0071,175,ff66ffa6,1,0,1
97,97,0,0,0025008e,37,ffeeff84,1,0,1
98,98,0,0,ff6fffb0,-145,00a10062,1,0,1
99,99,0,0,fff8ff8f,-8,00180081,1,0,1
100,100,0,0,00ab0071,171,ff67ffa2,1,0,1
101,101,0,0,0026008d,38,ffecff84,1,0,1
102,102,0,0,ff6effad,-146,009f0062,1,0,1
103,103,0,0,fff8ff8d,-8,001a0081,1,0,1
104,104,0,0,00b0006d,176,ff66ffa4,1,0,1
105,105,0,0,00260090,38,ffeeff86,1,0,1
106,106,0,0,ff71ffad,-143,00a20060,1,0,1
107,107,0,0,fff9ff8c,-7,00180086,1,0,1
108,108,0,0,00ae006c,174,ff66ffa1,1,0,1
109,109,0,0,0021008f,33,ffefff84,1,0,1
110,110,0,0,ff70ffaf,-144,00a10064,1,0,1
111,111,0,0,fff9ff8d,-7,001a0084,1,0,1
112,112,0,0,00aa006e,170,ff66ffa2,1,0,1
113,113,0,0,0024008d,36,ffecff84,1,0,1
114,114,0,0,ff6effb0,-146,009f0063,1,0,1
115,115,0,0,fffaff90,-6,001b0082,1,0,1
116,116,0,0,00ab006f,171,ff67ffa3,1,0,1
117,117,0,0,0020008f,32,ffeaff83,1,0,1
118,118,0,0,ff6effb0,-146,00a30062,1,0,1
119,119,0,0,fff7ff8e,-9,001a0081,1,0,1
120,120,0,0,00ac006e,172,ff68ffa5,1,0,1
121,121,0,0,00250090,37,ffecff82,1,0,1
122,122,0,0,ff71ffad,-143,00a10064,1,0,1
123,123,0,0,fff8ff8e,-8,00180084,1,0,1
124,124,0,0,00ae006e,174,ff66ffa1,1,0,1
125,125,0,0,0022008e,34,ffedff84,1,0,1
126,126,0,0,ff6dffad,-147,00a10061,1,0,1
127,127,0,0,fff6ff8e,-10,00190083,1,0,1
128,128,0,0,00ab006d,171,ff65ffa3,1,0,1
129,129,0,0,0026008e,38,ffeaff86,1,0,1
130,130,0,0,ff6fffad,-145,009e0063,1,0,1
131,131,0,0,fff6ff8d,-10,001b0082,1,0,1
132,132,0,0,00af006e,175,ff63ffa3,1,0,1
133,133,0,0,00250089,37,ffe9ff85,1,0,1
134,134,0,0,ff6fffac,-145,00a00061,1,0,1
135,135,0,0,fff5ff8e,-11,001a0085,1,0,1
136,136,0,0,00ad006d,173,ff62ffa1,1,0,1
137,137,0,0,0023008b,35,fff0ff86,1,0,1
138,138,0,0,ff71ffae,-143,00a40063,1,0,1
139,139,0,0,fff9ff8f,-7,00190081,1,0,1
140,140,0,0,00ae006c,174,ff66ffa3,1,0,1
141,141,0,0,0023008b,35,fff0ff81,1,0,1
142,142,0,0,ff70ffad,-144,009f0064,1,0,1
143,143,0,0,fff9ff8f,-7,001b0084,1,0,1
144,144,0,0,00ad006d,173,ff68ffa2,1,0,1
145,145,0,0,0025008d,37,ffedff85,1,0,1
146,146,0,0,ff70ffad,-144,00a20065,1,0,1
147,147,0,0,fff7ff8b,-9,001a0083,1,0,1
148,148,0,0,00ac006e,172,ff66ffa6,1,0,1
149,149,0,0,0024008d,36,ffecff87,1,0,1
150,150,0,0,ff6effaa,-146,00a10062,1,0,1
151,151,0,0,fff9ff8e,-7,00190082,1,0,1
152,152,0,0,00ab006d,171,ff65ffa2,1,0,1
153,153,0,0,0023008c,35,ffeeff82,1,0,1
154,154,0,0,ff70ffaf,-144,00a20062,1,0,1
155,155,0,0,fff8ff8d,-8,00190084,1,0,1
156,156,0,0,00ae006e,174,ff68ffa2,1,0,1
157,157,0,0,0023008f,35,fff0ff83,1,0,1
158,158,0,0,ff70ffac,-144,00a10062,1,0,1
159,159,0,0,fff9ff8f,-7,001b0083,1,0,1
160,160,0,0,00ad0070,173,ff68ffa3,1,0,1
161,161,0,0,0026008e,38,ffecff83,1,0,1
162,162,0,0,ff6fffad,-145,00a20062,1,0,1
163,163,0,0,fffaff8e,-6,001b0082,1,0,1
164,164,0,0,00ac0071,172,ff66ffa3,1,0,1
165,165,0,0,0023008e,35,ffedff83,1,0,1
166,166,0,0,ff71ffaf,-143,00a40062,1,0,1
167,167,0,0,fff9ff8c,-7,001a0081,1,0,1
168,168,0,0,00ab006e,171,ff66ffa4,1,0,1
169,169,0,0,00250091,37,ffefff84,1,0,1
170,170,0,0,ff71ffae,-143,00a10065,1,0,1
171,171,0,0,fff7ff8e,-9,00190081,1,0,1
172,172,0,0,00ae0070,174,ff65ffa3,1,0,1
173,173,0,0,0024008d,36,ffedff86,1,0,1
174,174,0,0,ff71ffaf,-143,00a30063,1,0,1
175,175,0,0,fff9ff8e,-7,001b0084,1,0,1
176,176,0,0,00ac006d,172,ff67ffa3,1,0,1
177,177,0,0,0025008e,37,ffeeff86,1,0,1
178,178,0,0,ff72ffad,-142,00a10064,1,0,1
