Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/util_fmcjesdadc1_xcvr_rx_out_clk_0,i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_data[63:0],i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_en,i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_sync,i_system_wrapper/system_i/axi_ad9250_core_adc_clk,i_system_wrapper/system_i/axi_ad9250_core_rx_ready,i_system_wrapper/system_i/axi_ad9250_core_adc_valid_a,i_system_wrapper/system_i/axi_ad9250_dma_irq,i_system_wrapper/system_i/sys_concat_intc_dout[15:0],data_a_low[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_a[31:0],data_a_high[13:0],data_b_high[31:0],data_b_low[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_b[31:0],data_b_high'[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,HEX,SIGNED,HEX,SIGNED,HEX,SIGNED
0,0,1,0,fc4503d6fb970488,1,1,0,1,1,1,1000,829,029c033d,668,fd7afce0,-800,fd7afce0,-646
1,1,0,0,fd7a029cfce0033d,1,1,0,1,1,1,1000,498,015801f2,344,febefe27,-473,febefe27,-322
2,2,0,0,febe0158fe2701f2,1,1,0,1,1,1,1000,189,000c00bd,12,0002ff55,-171,0002ff55,2
3,3,0,0,0002000cff5500bd,1,1,0,1,1,1,1000,-173,feadff53,-339,016300bc,188,016300bc,355
4,4,0,0,0163fead00bcff53,1,1,0,1,1,1,1000,-513,fd5efdff,-674,02ac020b,523,02ac020b,684
5,5,0,0,02acfd5e020bfdff,1,1,0,1,1,1,1000,-832,fc1bfcc0,-997,03ec034d,845,03ec034d,1004
6,6,0,0,03ecfc1b034dfcc0,1,1,0,1,1,1,1000,-1149,fad9fb83,-1319,052e047f,1151,052e047f,1326
7,7,0,0,052efad9047ffb83,1,1,0,1,1,1,1000,-1475,f995fa3d,-1643,066e05c9,1481,066e05c9,1646
8,8,0,0,066ef99505c9fa3d,1,1,0,1,1,1,1000,-1800,f85cf8f8,-1956,079f070b,1803,079f070b,1951
9,9,0,0,079ff85c070bf8f8,1,1,0,1,1,1,1000,-2123,f734f7b5,-2252,08c8084b,2123,08c8084b,2248
10,10,0,0,08c8f734084bf7b5,1,1,0,1,1,1,1000,-2407,f606f699,-2554,09f30962,2402,09f30962,2547
11,11,0,0,09f3f6060962f699,1,1,0,1,1,1,1000,-2713,f4c9f567,-2871,0b2e0a90,2704,0b2e0a90,2862
12,12,0,0,0b2ef4c90a90f567,1,1,0,1,1,1,1000,-2980,f3c5f45c,-3131,0c320b9a,2970,0c320b9a,3122
13,13,0,0,0c32f3c50b9af45c,1,1,0,1,1,1,1000,-3268,f2bbf33c,-3397,0d380cb9,3257,0d380cb9,3384
14,14,0,0,0d38f2bb0cb9f33c,1,1,0,1,1,1,1000,-3533,f1d2f233,-3630,0e1e0dbf,3519,0e1e0dbf,3614
15,15,0,0,0e1ef1d20dbff233,1,1,0,1,1,1,1000,-3751,f0dcf159,-3876,0f100e97,3735,0f100e97,3856
16,16,0,0,0f10f0dc0e97f159,1,1,0,1,1,1,1000,-4001,f00cf05f,-4084,0fdc0f8e,3982,0fdc0f8e,4060
17,17,0,0,0fdcf00c0f8ef05f,1,1,0,1,1,1,1000,-4212,ef39ef8c,-4295,10b1105a,4186,10b1105a,4273
18,18,0,0,10b1ef39105aef8c,1,1,0,1,1,1,1000,-4399,ee6eeed1,-4498,117a1117,4375,117a1117,4474
19,19,0,0,117aee6e1117eed1,1,1,0,1,1,1,1000,-4567,edb4ee29,-4684,123211c0,4544,123211c0,4658
20,20,0,0,1232edb411c0ee29,1,1,0,1,1,1,1000,-4752,ed32ed70,-4814,12b21278,4728,12b21278,4786
21,21,0,0,12b2ed321278ed70,1,1,0,1,1,1,1000,-4872,ecb0ecf8,-4944,133012e6,4838,133012e6,4912
22,22,0,0,1330ecb012e6ecf8,1,1,0,1,1,1,1000,-5007,ec46ec71,-5050,139c136d,4973,139c136d,5020
23,23,0,0,139cec46136dec71,1,1,0,1,1,1,1000,-5092,ebf0ec1c,-5136,13f113c6,5062,13f113c6,5105
24,24,0,0,13f1ebf013c6ec1c,1,1,0,1,1,1,1000,-5209,eb99eba7,-5223,1447143a,5178,1447143a,5191
25,25,0,0,1447eb99143aeba7,1,1,0,1,1,1,1000,-5257,eb66eb77,-5274,14771466,5222,14771466,5239
26,26,0,0,1477eb661466eb77,1,1,0,1,1,1,1000,-5287,eb52eb59,-5294,148b1483,5251,148b1483,5259
27,27,0,0,148beb521483eb59,1,1,0,1,1,1,1000,-5305,eb3beb47,-5317,14a61499,5273,14a61499,5286
28,28,0,0,14a6eb3b1499eb47,1,1,0,1,1,1,1000,-5319,eb52eb39,-5294,148c14a4,5284,148c14a4,5260
29,29,0,0,148ceb5214a4eb39,1,1,0,1,1,1,1000,-5285,eb69eb5b,-5271,14771482,5250,14771482,5239
30,30,0,0,1477eb691482eb5b,1,1,0,1,1,1,1000,-5263,eb9feb71,-5217,1442146c,5228,1442146c,5186
31,31,0,0,1442eb9f146ceb71,1,1,0,1,1,1,1000,-5181,ebe0ebc3,-5152,1401141a,5146,1401141a,5121
32,32,0,0,1401ebe0141aebc3,1,1,0,1,1,1,1000,-5110,ec46ec0a,-5050,139c13d6,5078,139c13d6,5020
33,33,0,0,139cec4613d6ec0a,1,1,0,1,1,1,1000,-4997,ecc9ec7b,-4919,131b1366,4966,131b1366,4891
34,34,0,0,131becc91366ec7b,1,1,0,1,1,1,1000,-4874,ed45ecf6,-4795,129f12e8,4840,129f12e8,4767
35,35,0,0,129fed4512e8ecf6,1,1,0,1,1,1,1000,-4735,edd4ed81,-4652,120d1261,4705,120d1261,4621
